Project Management,Project Management Basics,Exam Tips: PRINCE2 Foundation & Practitioner ,https://www.linkedin.com/learning/exam-tips-prince2-foundation-and-practitioner/welcome?u=58256457,"This course takes you through how to sign up to take the examinations, as well as what to expect on the day of your test. It also familiarizes you with the question styles of both the Foundation and the Practitioner exams, explains the best way to use the manual on exam day, and walks through several practice questions. Offered through LinkedIn Learning.",No,No
Project Management,Agile Project Management Basics,Agile Foundations,https://www.linkedin.com/learning/agile-foundations/understanding-agile?u=58256457,Teams that embrace an agile mindset are often better able to respond to customer feedback and shifting business needs—and have a bit more fun in the process. Interested in bringing the principles of agile to your team? This course can help. Offered through LinkedIn Learning subscription. ,No,No
Project Management,Agile Project Management Basics,Comparing Agile Tools,https://www.linkedin.com/learning/agile-project-management-comparing-agile-tools/explore-agile-tool-options-for-your-projects?u=58256457,"Agile is an exciting way to quickly deliver higher-quality products to your customer. New agile tools are emerging every day. This course helps you compare the strengths and capabilities of several different agile software tools, including Microsoft Excel, Atlassian JIRA, VersionOne, Microsoft Team Foundation Server (TFS), CA Agile Central (formerly Rally), and Agility Health. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Agile Project Management Basics,Comparing Agile vs Waterfall ,https://www.linkedin.com/learning/comparing-agile-versus-waterfall-project-management/decide-on-your-project-management-approach?u=58256457,"Agile and waterfall are the two most popular project management approaches. Choosing the right approach can impact your budget, your schedule, and your project’s success. In this course you review the similarities, differences, and best uses of agile and waterfall. Also explained is which method is best for large-scale projects, which method is more cost efficient, and which projects are suitable for each style—or combination of styles. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Agile Project Management Basics,Become an Agile Project Manager (Learning Path),https://www.linkedin.com/learning/paths/become-an-agile-project-manager?u=58256457,"Deliver projects with the highest level of performance and quality as an agile project manager. This path will help you build a solid foundation in leading and motivating agile project teams, from developing user stories and agile charts to driving productive meetings. Learning Path includes 9 courses. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Agile Project Management Basics,Cert Prep: PMI Agile Certified Practitioner ,https://www.linkedin.com/learning/cert-prep-pmi-agile-certified-practitioner-pmi-acp/welcome?u=58256457,"This course covers the knowledge domains for the PMI Agile Certified Practitioner (PMI-ACP)® exam. If you're pursuing the PMI-ACP® certification, this course can help you approach the exam topics with confidence. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Agile Project Management Basics,Exam Tips: PMI Agile Certified Practitioner ,https://www.linkedin.com/learning/exam-tips-pmi-agile-certified-practitioner-pmi-acp/welcome?u=58256457,This course explains what you need to know before you even start studying for the test—including the eligibility requirements and how to navigate the audit process. Offered through LinkedIn Learning subscription.,No,No
Project Management,Program Management Basics ,Program Management Foundations,https://www.linkedin.com/learning/program-management-foundations-2/delivering-capability-with-programs?u=58256457,"This course covers the essentials of program management, providing specific guidance on the steps required to bring a program to the finish line. After defining what a program is and how to develop a program plan, the course shares best practices on how to manage program phases, carry out a transition, and close a program. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Program Management Basics ,Program Management for IT Professionals ,https://www.linkedin.com/learning/program-management-for-it-professionals/why-program-management-matters?u=58256457,"In this course, learn how to successfully manage large IT projects—from the planning stages to a project's release—by learning the basics of program management. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Program Management Basics ,Become a Program Manager (Learning Path),https://www.linkedin.com/learning/paths/become-a-program-manager?u=58256457,"Now that you've mastered project management, you're ready for the next challenge: program management. From leadership to strategic business and cross-functional skills, this learning path can help you acquire the skills to become an exceptional program manager. Includes 20 courses. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Program Management Basics ,Lean Foundations,https://www.linkedin.com/learning/lean-foundations/welcome?u=58256457,Learn about lean: an operations management approach that means creating more value for customers with fewer resources. A lean organization understands customer value and focuses its key processes to continuously increase it. The ultimate goal is to provide perfect value to the customer through a value creation process that has zero waste. Offered through LinkedIn Learning subscription. ,No,No
Project Management,Program Management Basics ,Lean Six Sigma Foundations,https://www.linkedin.com/learning/lean-six-sigma-foundations/the-continuous-improvement-culture?u=58256457,"Steven outlines the process stages in Six Sigma (define, measure, analyze, improve, and control), along with the Lean toolkit: the 5s principles, kanban (scheduling), downtime, poka-yoke (error proofing), and kaizen (continuous improvement). Offered through LinkedIn Learning. ",No,No
Project Management,Program Management Basics ,Learning Lean ,https://www.gebrilliantyou.com/new/details.html?title=path/learning-lean,The Learning Lean series hosted by senior lean leader Tom Mathis gives employees the opportunity to learn about some of the many lean topics necessary to help drive change and accelerate GE’s transformation. Every session will have different lean leaders from across the company to provide first hand insight and examples. Includes 5 videos. No cost. ,No,No
